Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
1995-09-25,2.684727191925049,2.684727191925049,2.684727191925049,2.684727191925049,23000,0.0,0.0,DPM.TO
1995-09-26,2.6847279934391413,2.6847279934391413,2.6380533498240184,2.660457134246826,48000,0.0,0.0,DPM.TO
1995-09-27,2.660457047954495,2.6847279063595817,2.6137824058532715,2.6137824058532715,59500,0.0,0.0,DPM.TO
1995-09-28,2.660456721314142,2.660456721314142,2.6380529403686523,2.6380529403686523,9500,0.0,0.0,DPM.TO
1995-09-29,2.6380532642583576,2.6380532642583576,2.6137824058532715,2.6137824058532715,17000,0.0,0.0,DPM.TO
1995-10-02,2.6137824058532715,2.6380532642583576,2.591378622157134,2.6137824058532715,20000,0.0,0.0,DPM.TO
1995-10-03,2.613782473084661,2.613782473084661,2.591378688812256,2.591378688812256,63000,0.0,0.0,DPM.TO
1995-10-04,2.591378688812256,2.613782473084661,2.591378688812256,2.591378688812256,35500,0.0,0.0,DPM.TO
1995-10-05,2.5913785350489476,2.5913785350489476,2.544703894516674,2.567107677459717,26500,0.0,0.0,DPM.TO
1995-10-06,2.591378688812256,2.591378688812256,2.5671078297828775,2.591378688812256,20500,0.0,0.0,DPM.TO
1995-10-10,2.5913785350489476,2.6137823179919906,2.567107677459717,2.567107677459717,48000,0.0,0.0,DPM.TO
1995-10-11,2.567107677459717,2.5913785350489476,2.567107677459717,2.567107677459717,27500,0.0,0.0,DPM.TO
1995-10-12,2.5671078297828775,2.591378688812256,2.5671078297828775,2.591378688812256,15000,0.0,0.0,DPM.TO
1995-10-13,2.591378602159742,2.591378602159742,2.544703960418701,2.544703960418701,24000,0.0,0.0,DPM.TO
1995-10-16,2.544703960418701,2.544703960418701,2.5204331022009105,2.544703960418701,22500,0.0,0.0,DPM.TO
1995-10-17,2.5204331022009105,2.544703960418701,2.4980293186776605,2.544703960418701,23500,0.0,0.0,DPM.TO
1995-10-18,2.5204331022009105,2.544703960418701,2.5204331022009105,2.544703960418701,41000,0.0,0.0,DPM.TO
1995-10-19,2.520433014771246,2.520433014771246,2.4980292320251465,2.4980292320251465,6000,0.0,0.0,DPM.TO
1995-10-20,2.5204329077090235,2.5204329077090235,2.4513542652130127,2.4513542652130127,45500,0.0,0.0,DPM.TO
1995-10-23,2.4980294022086893,2.591378688812256,2.4980294022086893,2.591378688812256,67000,0.0,0.0,DPM.TO
1995-10-24,2.544703960418701,2.591378602159742,2.544703960418701,2.544703960418701,68000,0.0,0.0,DPM.TO
1995-10-25,2.544703960418701,2.591378602159742,2.544703960418701,2.544703960418701,22500,0.0,0.0,DPM.TO
1995-10-26,2.5913785350489476,2.6137823179919906,2.567107677459717,2.567107677459717,40500,0.0,0.0,DPM.TO
1995-10-27,2.567107677459717,2.5913785350489476,2.544703894516674,2.567107677459717,47500,0.0,0.0,DPM.TO
1995-10-30,2.567107677459717,2.5913785350489476,2.567107677459717,2.567107677459717,28500,0.0,0.0,DPM.TO
1995-10-31,2.567107677459717,2.5913785350489476,2.567107677459717,2.567107677459717,17500,0.0,0.0,DPM.TO
1995-11-01,2.5671073451376434,2.5671073451376434,2.520432710647583,2.520432710647583,22000,0.0,0.0,DPM.TO
1995-11-02,2.520433014771246,2.520433014771246,2.473758374649272,2.4980292320251465,209000,0.0,0.0,DPM.TO
1995-11-03,2.520433014771246,2.520433014771246,2.473758374649272,2.4980292320251465,28000,0.0,0.0,DPM.TO
1995-11-06,2.47375846045987,2.544703960418701,2.47375846045987,2.544703960418701,43000,0.0,0.0,DPM.TO
1995-11-07,2.544703894516674,2.5913785350489476,2.544703894516674,2.567107677459717,84500,0.0,0.0,DPM.TO
1995-11-08,2.544703894516674,2.5913785350489476,2.544703894516674,2.567107677459717,56500,0.0,0.0,DPM.TO
1995-11-09,2.567107677459717,2.567107677459717,2.544703894516674,2.567107677459717,51500,0.0,0.0,DPM.TO
1995-11-10,2.567107763752048,2.6137824058532715,2.567107763752048,2.6137824058532715,154000,0.0,0.0,DPM.TO
1995-11-13,2.591378622157134,2.6137824058532715,2.567107763752048,2.6137824058532715,67000,0.0,0.0,DPM.TO
1995-11-14,2.5671078297828775,2.591378688812256,2.5671078297828775,2.591378688812256,86000,0.0,0.0,DPM.TO
1995-11-15,2.567107677459717,2.5913785350489476,2.567107677459717,2.567107677459717,34500,0.0,0.0,DPM.TO
1995-11-16,2.544703872147121,2.544703872147121,2.4980292320251465,2.4980292320251465,27500,0.0,0.0,DPM.TO
1995-11-17,2.520432710647583,2.520432710647583,2.498028930604797,2.520432710647583,44000,0.0,0.0,DPM.TO
1995-11-20,2.498028930604797,2.544703565094857,2.498028930604797,2.520432710647583,34500,0.0,0.0,DPM.TO
1995-11-21,2.520432710647583,2.544703565094857,2.520432710647583,2.520432710647583,26500,0.0,0.0,DPM.TO
1995-11-22,2.520433014771246,2.544703872147121,2.4980292320251465,2.4980292320251465,38000,0.0,0.0,DPM.TO
1995-11-23,2.4980292320251465,2.4980292320251465,2.473758374649272,2.4980292320251465,24500,0.0,0.0,DPM.TO
1995-11-24,2.4737582206726074,2.498029076537766,2.4737582206726074,2.4737582206726074,34000,0.0,0.0,DPM.TO
